cell_position,visible_code,symbol,notes
11,11,H,
12,12,O,
13,13,CQ,
14,14,CQ,
15,15,N,
16,16,ME,
19,18#,CIR,desplazado hacia la siguiente cuadricula segun plantilla
1B,1B,B,
1C,1C,B,
21,21,O,
22,22,O,
23,23,O,
24,24,O,
25,25,O,
26,26,O,
27,27,O,
28,28,O,
29,29,O,
2A,2A,O,
2B,2B#,M,simbolo M no aparece en la leyenda original
2C,2C,PH,
31,31,O,
32,32,O,
33,33,O,
34,34,O,
35,35,O,
36,36,O,
37,37,O,
38,38,O,
39,39,O,
3A,3A,O,
3B,3B,PM,
3C,3C,PH,
41,41,O,
42,42,O,
43,43,O,
44,44,O,
45,45,O,
46,46,O,
47,47,O,
48,48,O,
49,49,O,
4A,4A,O,
4B,4B,PM,
4C,4C,PM,
51,51,O,
52,52,O,
53,53,O,
54,54,O,
55,55,O,
56,56,O,
57,57,O,
58,58,O,
59,59,O,
5A,5A,O,
5B,5B,O,
5C,5C,O,
62,61,O,
63,63,O,
64,64,O,
65,65,O,
66,66,O,
67,67,O,
68,68,O,
69,69,O,
6A,6A,O,
6B,6B,O,
6C,6C,O,
72,72,O,
73,73,O,
74,74,O,
75,75,O,
76,76,O,
77,77,O,
78,78,O,
79,79,O,
7A,7A,O,
7B,7B,O,
7C,7C,NG,
82,81,O,
83,82,O,
84,83,O,
85,85,O,
86,86,O,
87,87,O,
88,88,O,
89,89,O,
8A,8A,O,
8B,8B,O,
8C,8C,R,
92,91,O,
93,92,O,
94,94,O,
95,95,O,
96,96,O,
97,97,O,
98,98,O,
99,99,O,
9A,9A,O,
9B,9B,O,
9C,9C,O,
A2,A2,O,
A3,A3,O,
A4,A4,O,
A5,A5,O,
A6,A6,O,
A7,A7,O,
A8,A8,O,
A9,A9,O,
AA,AA,O,
AB,AB,O,
AC,AC,O,
B2,B2,O,
B3,B3,O,
B4,B4,O,
B5,B5,O,
B6,B6,O,
B7,B7,O,
B8,B8,O,
B9,B9,O,
BA,BA,O,
BB,BB,O,
BC,BC,O,
C2,C2,O,
C3,C3,O,
C4,C4,O,
C5,C5,O,
C6,C6,O,
C7,C7,O,
C8,C8,O,
C9,C9,O,
CA,CA,O,
CB,CB,O,
CC,CC,O,
